id,input,output
nikluge-au-2022-train-000052,그 병은 죽어도 못고친다,1
nikluge-au-2022-train-000053,피의자로 가는 싸가지 없는 쓰래기!,1
nikluge-au-2022-train-000054,넌 인간되긴 틀렸다,1
nikluge-au-2022-train-000055,기래기로 출발해 대래기하다,1
nikluge-au-2022-train-000056,유독 대구에서만 이렇게 한건 대구사람들에게 위협과 겁박을 해서 반발하지 말라는 개 돼지 취급 다름아니다,1
nikluge-au-2022-train-000057,이  시체팔이들 !,1
nikluge-au-2022-train-000058,&name&대통령 만큼 일 했으면 넌 벌써 이 세상 하직했다,1
nikluge-au-2022-train-000059,벌구치매야!,1
nikluge-au-2022-train-000060,&name&는 억류 되 있는 자국민을 갖은 수단을 써서 구출해 오는데 이놈의 빨갱이정권은 탈출해 온 국민을 되려 북에 넘겨 줄려고 한다.,1
nikluge-au-2022-train-000061,&name&는 억류 되 있는 자국민을 갖은 수단을 써서 구출해 오는데 이놈의 빨갱이정권은 탈출해 온 국민을 되려 북에 넘겨 줄려고 한다.,1
nikluge-au-2022-train-000062,쌈짓 돈 모아 &location& 공산당 간부들에게 쳐바른다는 생각이 들지 않나요?,1
nikluge-au-2022-train-000063,&location&의 서민 인권보다는 당간부가 우선인 노예 국가에 무엇을 바랄 수 있을까요?,1
nikluge-au-2022-train-000064,앵벌이 모양 삥 뜯는 것이 핵강국의 진면목 인가요?,1
nikluge-au-2022-train-000065,무뇌잉여빠갈충 뚝빼기들아!!,1
nikluge-au-2022-train-000066,대기업 몇 십년 다니다가 저짓거리하는 빠갈통뚝빼기 생각나네...,1
nikluge-au-2022-train-000067,"법정이고, 법륜이고... 땡중들",1
nikluge-au-2022-train-000068,마구니가 오지게 끼셔서 철퇴로 쪼사야 할 것들,1
nikluge-au-2022-train-000069,자유민주주의 대한민국에서 함께 살고있다는게 수치고 지랄이다,1
nikluge-au-2022-train-000070,전부싸그리 #요단강래프팅 태워야 할 것들,1
nikluge-au-2022-train-000071,빠갈통들아,1
nikluge-au-2022-train-000072,하여간  머가리가 빠가리들이라서,1
nikluge-au-2022-train-000073,대갈빡에 들은게 없는 것들은... 그냥 처 밟아죽여야 한다,1
nikluge-au-2022-train-000074,씨발아 최선을 다한게 유효슈팅두 없는 무뇌한 경기한거냐?,1
nikluge-au-2022-train-000075,역대 최악에 경기보니라 심장마비 오는줄 알았다,1
nikluge-au-2022-train-000076,제발 직립보행 좀 하구,1
nikluge-au-2022-train-000077,조문하러 왔다는 사람이 옷에는 `노란 리본`을 달았군요~!!,1
nikluge-au-2022-train-000078,참으로 역겹구나.,1
nikluge-au-2022-train-000079,저들은 상상을 초월하는 인간 말종들이기 때문입니다.,1
nikluge-au-2022-train-000080,발목당 종자들아!,1
nikluge-au-2022-train-000081,용서 할 수 없는 인간백정 &name&!,1
nikluge-au-2022-train-000082,&name&과 그 시다들이 그들의 거짓과 조작 그리고 허위적인 말과 통계에 속아주는 개돼지를 보고 얼마나 통쾌해 하는지 쉼도없이 갖고 놀고 있네!,1
nikluge-au-2022-train-000083,그들은 백년후에도 개돼지로 살 놈들이니...,1
nikluge-au-2022-train-000084,&name&과 그 시다들이 그들의 거짓과 조작 그리고 허위적인 말과 통계에 속아주는 개돼지를 보고 얼마나 통쾌해 하는지 쉼도없이 갖고 놀고 있네!,1
nikluge-au-2022-train-000085,자유&location&은 &affiliation&에 속았고 &affiliation&에 속았고 종북빨갱이들에 의해 속고 있다.,1
nikluge-au-2022-train-000086,그냥 자폭해야 한다.,1
nikluge-au-2022-train-000087,나라가  종북빨갱이 들에 의해 망해져 가는데 태극기를 들고 거리에 나와 투쟁하는 것은 삶의 일부입니다.,1
nikluge-au-2022-train-000088,이미 종북빨갱이들에 장악된 방송이지만 너무한다,1
nikluge-au-2022-train-000089,이미 종북빨갱이들에 장악된 방송이지만 너무한다,1
nikluge-au-2022-train-000090,종북빨갱이들은 전쟁나면 지 새끼들은 안챙겨도 빨갱이 완장은 챙길 놈들입니다.,1
nikluge-au-2022-train-000091,종북빨갱이들은 전쟁나면 지 새끼들은 안챙겨도 빨갱이 완장은 챙길 놈들입니다.,1
nikluge-au-2022-train-000092,&name&가 이제 서서히 골로 가는구나!,1
nikluge-au-2022-train-000093,&name&이가 이제 서서히 골로 가는구나!,1
nikluge-au-2022-train-000094,피죽도 못 얻어 먹어서 피골이 상접한 빨갱이들이 정부 각 기관의 수장에 임명되는걸 보니 완전 남한내의 공산화가 이룩된 것 같네.,1
nikluge-au-2022-train-000095,피죽도 못 얻어 먹어서 피골이 상접한 빨갱이들이 정부 각 기관의 수장에 임명되는걸 보니 완전 남한내의 공산화가 이룩된 것 같네.,1
nikluge-au-2022-train-000096,지속적인 판깨기로 사라지는 문벌구지지도!,1
nikluge-au-2022-train-000097,칠푼이 &name&!,1
nikluge-au-2022-train-000098,세계가 인정하는 칠푼이 부부다!,1
nikluge-au-2022-train-000099,칠떡이 &name&!,1
nikluge-au-2022-train-000100,세계가 인정하는 칠푼이 부부다!,1
nikluge-au-2022-train-000101,이 나라를 종북빨갱이들이 난도질하고 분탕을 칠수록 &name&님의 애국심과 공적 그리고 결백함은 더 빛이 난다.,1
nikluge-au-2022-train-000102,이 나라를 종북빨갱이들이 난도질하고 분탕을 칠수록 &name&님의 애국심과 공적 그리고 결백함은 더 빛이 난다.,1
nikluge-au-2022-train-000103,곧 배를 가르고 자결해야 할 족속들이다.,1
nikluge-au-2022-train-000104,곧 &name&과 똘마니들의 척결과 제거가 이루어질 것이다.,1
nikluge-au-2022-train-000105,외국투자자들의 15조 매도에도 눈까딱 않는 종북빨갱이들의 배짱이 두둑하다.,1
nikluge-au-2022-train-000106,곧 문과 똘마니들의 척결과 제거가 이루어질 것이다.,1
nikluge-au-2022-train-000107,종북빨갱이들의 필수조건!,1
nikluge-au-2022-train-000108,종북빨갱이들의 필수조건!,1
nikluge-au-2022-train-000109,가짜 운동권,1
nikluge-au-2022-train-000110,가짜 인권변호사&name&!,1
nikluge-au-2022-train-000111,살리도  &name&아 !,1
nikluge-au-2022-train-000112,&name& 비서실장인 &name&은 석유수입 대신 북한 석탄 수입해서 연료대체하려나!,1
nikluge-au-2022-train-000113,종북빨갱이들과 손잡은 석탄밀수업자들 노나게 되겠구나?,1
nikluge-au-2022-train-000114,대한민국에서 출세 할려면 참여연대가 일등이다.,1
nikluge-au-2022-train-000115,"지힘 으로 일해서 돈을 벌어 보질 못했으니 하는짓 마다  뻘짓 ,",1
nikluge-au-2022-train-000116,"그  뻘짓 에 국민재산 다 날아가게 생겻네..,",1
nikluge-au-2022-train-000117,촛불보수 자폭당.,1
nikluge-au-2022-train-000118,&affiliation& 국개들은 지금 이라도 탄핵이 잘못되었다고 고백하고 전부 삭발하고 국회에서 대가리 쳐박아라.,1
nikluge-au-2022-train-000119,&affiliation& 국개들은 지금 이라도 탄핵이 잘못되었다고 고백하고 전부 삭발하고 국회에서 대가리 쳐박아라.,1
nikluge-au-2022-train-000120,종북정당..,1
nikluge-au-2022-train-000121,종북정당..,1
nikluge-au-2022-train-000122,연합기사 꼬라지,1
nikluge-au-2022-train-000123,돼지 쓰레기 정치인들 다 기어나오네.,1
nikluge-au-2022-train-000124,자폭하라 자폭당.,1
nikluge-au-2022-train-000125,돼지 쓰레기 정치인들 다 기어나오네.,1
nikluge-au-2022-train-000126,부역자들,1
nikluge-au-2022-train-000127,그럼 반중이 뭔지 니들이 빨고 있는 &affiliation&한테 시범한번 보이라고 해보시는게...,1
nikluge-au-2022-train-000128,허튼 무식한것들이 신념가지면 안되는데..,1
nikluge-au-2022-train-000129,쓰레기 같은 인간들.,1
nikluge-au-2022-train-000130,아니면 오히려 선원에게 책임을 떠넘기는 가식적인 인간들.,1
nikluge-au-2022-train-000131,나라 북한에 교묘하게 갖다 바치려고 애쓰는 것들이란 말이다.,1
nikluge-au-2022-train-000132,단디 아시라 모지리들,1
nikluge-au-2022-train-000133,"&name&가 카메라 앞에서  뻔뻔한 모습으로 국민을 속이려했지만, 그로인해 오히려 훤히  드러난 건 좌파들 전형적 특성 ‘양심의 부재’였다.",1
nikluge-au-2022-train-000134,"&name&가 카메라 앞에서  뻔뻔한 모습으로 국민을 속이려했지만, 그로인해 오히려 훤히  드러난 건 좌파들 전형적 특성 ‘양심의 부재’였다.",1
nikluge-au-2022-train-000135,국민들은 합법적 양아치 현 가짜정권의 노예가 아니다.,1
nikluge-au-2022-train-000136,&name&이 병원에 시찰을 나갔다.,1
nikluge-au-2022-train-000137,“&name& 대통령 만세”,1
nikluge-au-2022-train-000138,그런데 환자하나가 &name&을 증오하는 표정으로 노려보고 있었다.,1
nikluge-au-2022-train-000139,&name&이 병원장에게 물었다.,1
nikluge-au-2022-train-000140,또 그 남는 돈으로 표심 관리 선심 쓰는 척 하겠지 제발 스스로 좋은말로 할 때 내려온나 악마같은 종북 양아치들 새뀌들아,1
nikluge-au-2022-train-000141,이 개보다 못한 배은망덕한 천벌받을 자숙들!,1
nikluge-au-2022-train-000142,내로남불,1
nikluge-au-2022-train-000143,이런게 수준차이,1
nikluge-au-2022-train-000144,●&name&대통령각하께서 몇 명을 죽였습니까?,1
nikluge-au-2022-train-000145,한국의 좌파들은 대체로 &name&을 존경하고 그가 벌인 문화대혁명 이란 광란학살극을 좋게도 평가한다.,1
nikluge-au-2022-train-000146,&name&도 이런 좌파적 &name& 觀을 갖고 있음이 확실하다.,1
nikluge-au-2022-train-000147,약먹었나?...,1
nikluge-au-2022-train-000148,아푼건 사치야,0
nikluge-au-2022-train-000149,저는 중학생얼굴을 한 진지충이었는데 이제는 누구에게나 적당히 귀엽게 굴 수 있게 되었네여,1
nikluge-au-2022-train-000150,자주 만나지만 대형견이라 멀리서 바라만 보는 멋진 개랑 우리 호야.,0
nikluge-au-2022-train-000151,요즘 솔직히 수제 수제 타령하는데... 손으로 만들지 발로 만드나..?,1
nikluge-au-2022-train-000152,이러고 귀가,0
nikluge-au-2022-train-000153,#동네게으른누나,0
nikluge-au-2022-train-000154,요즘은 여성호르몬의 원활한 공급을 위해 체지방량 21~22% 으로 맞추려고 열심히 먹는 중입니다.,0
nikluge-au-2022-train-000155,이렇게 조금씩 잉여 열량을 쟁여두면서 소모해야 건강한 증량이 될 것 같아요.. ..,0
nikluge-au-2022-train-000156,#통풍 #다이어터 #다이어트 #운동녀 #운동하는여자#52키로감량녀 #다이어트종결자#인간개조,0
nikluge-au-2022-train-000157,두번째신세계,0
nikluge-au-2022-train-000158,#울산#삼호#맛집#왕맛있다,0
nikluge-au-2022-train-000159,흐미침이줄줄,0
nikluge-au-2022-train-000160,그유명하다는..,0
nikluge-au-2022-train-000161,제가한번먹어보겠습니다,0
nikluge-au-2022-train-000162,#청춘부르스,0
nikluge-au-2022-train-000163,#닭도리탕,0
nikluge-au-2022-train-000164,#막창 #막창소금구이 #왕십리고곱창 #먹스타그램 #맛집,0
nikluge-au-2022-train-000165,남자는 다 그렇지모,1
nikluge-au-2022-train-000166,추운걸 어떡해,0
nikluge-au-2022-train-000167,물론 초동 대응 안한 견찰련놈글은 욕 쳐먹어도 싸지만 말이다 .,1
nikluge-au-2022-train-000168,꼴조오타!!,1
nikluge-au-2022-train-000169,#헬조센 #버닝썬 #죽창 #&name& #헬스타그램,1
nikluge-au-2022-train-000170,애미가 계란후라이에 비엔나 소시지 구워서 거기가 김치 찢어올려서 밥 숟가락에 올려주면 그거 맛나게 쳐먹고 니들 꼴리는대로 살 수 있을 줄 알았냐,1
nikluge-au-2022-train-000171,나치가 아니라고?,1
nikluge-au-2022-train-000172,그렇기에 나치인 것이다,1
nikluge-au-2022-train-000173,그 자는 나치이다,1
nikluge-au-2022-train-000174,무인가야되는데 톡소다까지먹음,0
nikluge-au-2022-train-000175,#홍대#홍대맛집#맛집#&company&#곱창#삼겹살#우삼겹#목살#고기#먹스타그램#🍗#🥓,0
nikluge-au-2022-train-000176,"티라미슈 + 아아 ,,",0
nikluge-au-2022-train-000177,지 혼자 다 ㅊ 먹음,1
nikluge-au-2022-train-000178,이런 말 좀 그렇지만..,0
nikluge-au-2022-train-000179,저 고기를 사기 위해 오후 일정 포기하고 한시간 반을 달려서 식료품점을 다녀옴.,0
nikluge-au-2022-train-000180,#시코쿠 #히가시이야 #씓록열도투어,0
nikluge-au-2022-train-000181,가끔 페미니스트들이 너무 상식에 어긋나고 불합리한 여성차별에 대해 이야기할때 `역시 여혐 탈출은 지능순`이라는 말을 한다.,1
nikluge-au-2022-train-000182,#한남민국,1
nikluge-au-2022-train-000183,피해자가 멀쩡해보이면 `거봐 저뇬 꽃뱀이쟈나`하며 의심부터 하고보네,1
nikluge-au-2022-train-000184,한남 공무원 답다 다워,1
nikluge-au-2022-train-000185,"여자들이 수만명이 모여 그만 찍어라 목이 터져라 소리지르고 머리를 밀어도 페미는 정신병취급하더니,",1
nikluge-au-2022-train-000186,"구청 직원도, 경찰도, 국회의원도, 교수도, 학원강사도, 동네 할아방탱이도, 학교 선생도 너나 할 것이 없이 한남짓을 하고 다닌다",1
nikluge-au-2022-train-000187,이 편견이 뿌리박힌 남자들은 그 영역에 여자들이 들어오면 그 여자들을 동료로 보는게 아니라 쉬운일만 하며 피빨아먹는 기생충취급을 한다.,1
nikluge-au-2022-train-000188,그만쿵쾅거려,1
nikluge-au-2022-train-000189,아오 띨빡,1
nikluge-au-2022-train-000190,빻아도 너무 빻았고 전형적이어도 너무 전형적인 성범죄자들의 특징이다.,1
nikluge-au-2022-train-000191,키친에이드 영입 이후로 살이 도로 다 찌고있어서 다시 다이어트 모드 돌입하려했는데 이건 한번만 더 해먹어야지,0
nikluge-au-2022-train-000192,#chouquette #foodporn #baking #chocolate #슈케트 #베이킹 #홈베이킹,0
nikluge-au-2022-train-000193,이놈의 남편은 본인 사진만 건지고 찍어주지를 않음,1
nikluge-au-2022-train-000194,#공청달하 #댄싱커버 #🚴🏻#하오고개,0
nikluge-au-2022-train-000195,나 인제 자덕그만할래..,0
nikluge-au-2022-train-000196,그만하고싶어,0
nikluge-au-2022-train-000197,#김라라랜드,0
nikluge-au-2022-train-000198,#라라와함께하는오키나와여행,0
nikluge-au-2022-train-000199,사탕 아닌데~,0
nikluge-au-2022-train-000200,틴트인데~,0
nikluge-au-2022-train-000201,#냥스타그램,0
nikluge-au-2022-train-000202,태국은 그래도 영어랑 바디랭기지로 대충 말이 통했는데 벳남은 리얼 먹통 깐따삐어,1
nikluge-au-2022-train-000203,확장이전 했단소리에 여의도 개돼지초대받고 출격,1
nikluge-au-2022-train-000204,고작 2년전인데 &company& 초창기 사진보니깐 이렇게 구릴수가 있나,1
nikluge-au-2022-train-000205,진짜 이쯤되면 그냥 대가리를 놓고 다니는게 더 나을듯,1
nikluge-au-2022-train-000206,핏짜 앤 맥듀,0
nikluge-au-2022-train-000207,#picoftheday #photooftheday #colors #bestplace #강릉 #&company& #맥주 #beer #술스타그램 #먹스타그램 #foodie #food,0
nikluge-au-2022-train-000208,남자선생님 문센은 처음인데 극혐,1
nikluge-au-2022-train-000209,앞구르기하는거 보고팠는데 극혐,1
nikluge-au-2022-train-000210,특히 #직화불족발 🔥이 진심 대박,0
nikluge-au-2022-train-000211,특히 저 양념!!!,0
nikluge-au-2022-train-000212,맛있게 매워서 중독성 최고,0
nikluge-au-2022-train-000213,오늘 점심은 #매운닭갈비 🔥🐔,0
nikluge-au-2022-train-000214,옆으로 넘기면👉 보글보글 닭갈비 끓는 영상,0
nikluge-au-2022-train-000215,후식으로 달다구리 필수,0
nikluge-au-2022-train-000216,전도하는 약쟁이 아줌마 길에서 전도하는 아줌마들 빼다 박았다.,1
nikluge-au-2022-train-000217,초당 순두부집 도토리묵을 대하는 신성한 자세,0
nikluge-au-2022-train-000218,친구가 피치항공은 피치못할때 타는거라고 했다.,0
nikluge-au-2022-train-000219,무시했는데 리얼이었다.,0
nikluge-au-2022-train-000220,#오사카 #osaka #여행스타그램 #우정여행 #도쿄여행 #아리기또_고자이마스 #일알못 #인데 #약간두렵군 #하지만 #괜찮아 #나에겐 #다정이와_지우가 #사실 #셋다 #영중과,0
nikluge-au-2022-train-000221,생전 처음 본 #오픽,0
nikluge-au-2022-train-000222,멘붕하고 나왔었는데 뜻밖의 AL!!!,0
nikluge-au-2022-train-000223,#자랑스타그램 #초심자의행운 #englishtest #opic #speaking,0
nikluge-au-2022-train-000224,&name& 바보! 했을 때의 표정,1
nikluge-au-2022-train-000225,지금은 클로져 ?!&@*번째 다시보는중,0
nikluge-au-2022-train-000226,초점이 나간 것은 너무 오랜만에 짠맛과 재회하였기 때뮨....,0
nikluge-au-2022-train-000227,#죽스타그램 #본죽 #건대 #hot #congee #dinner #meal #明太子,0
nikluge-au-2022-train-000228,#&company& #초코롱,0
nikluge-au-2022-train-000229,투썸 신상 초코초코롱,0
nikluge-au-2022-train-000230,마카롱 위에 초코가 싹 씌어있당,0
nikluge-au-2022-train-000231,초코 마카롱 덕후한테는 짱인듯,0
nikluge-au-2022-train-000232,야식은 얼큰김치수제비,0
nikluge-au-2022-train-000233,&location&찌질이 &name& 놀아주러 와줘서 고마웅〰,1
nikluge-au-2022-train-000234,#아메리칸어패럴 #aakorea #aaselfie #마가린핑거스 #미스치프 #mschf #미스치프걸 #자라,0
nikluge-au-2022-train-000235,에어프라이어에 구우니까 아주 고냥 편하게 집에서 막창 먹을 수 있다는거,0
nikluge-au-2022-train-000236,180도에 10분 뒤집어서 10분정도！,0
nikluge-au-2022-train-000237,막창 자체가 담백하고 쫄깃해서 넘나 만족했다요,0
nikluge-au-2022-train-000238,#&company& #돼지막창 #구운막창 #막창 #막창구이 &online-account&,0
nikluge-au-2022-train-000239,이쁜짓만 골라서 하네,0
nikluge-au-2022-train-000240,제발 매드맥스 좀 봐주소서...,0
nikluge-au-2022-train-000241,&name&가 멋있어 보인 적은 처음이쟈나...,0
nikluge-au-2022-train-000242,악의 연대기는 보지 마시고요....네,0
nikluge-au-2022-train-000243,(마른세수),0
nikluge-au-2022-train-000244,#수입과자,0
nikluge-au-2022-train-000245,폭풍흡입했다고 한다...,0
nikluge-au-2022-train-000246,딸래미들 머리 늘 산발 만드는 애미,0
nikluge-au-2022-train-000247,책보고 따라해도 모양 안나옴,0
nikluge-au-2022-train-000248,동생: 언니 얼굴극혐이니까 좀 가려봐,1
nikluge-au-2022-train-000249,애들이랑 빙고게임하고 이겨서 돈주고 애들이 매점가서 사온거,0
nikluge-au-2022-train-000250,하나하나 뜯어서 전자렌지에 돌려온 따스함,0
nikluge-au-2022-train-000251,이걸 어떻게 돈 받고 팔까 싶을 정도로 정말 드럽게 맛 없다.,1
nikluge-au-2022-train-000252,#놀멍걸으멍쉬멍,0
nikluge-au-2022-train-000253,#서귀포맛집 #법환동맛집 #법환맛집 #제주도맛집 #제주맛집 #제주도 #제주 #제주도여행 #제주여행,0
nikluge-au-2022-train-000254,#여행에미치다,0
nikluge-au-2022-train-000255,이제 다이어트를 해 볼까요,0
nikluge-au-2022-train-000256,#밀면 #먹스타그램 #수타킹손짜장,0
nikluge-au-2022-train-000257,"푸드코트에 뉴욕버거는 처음 본 거 같아서 핫도그랑 더블 치즈 프라이 시켰는데, 옛날에 한-창 많이 먹었던 아이리시 포테이토 생각나는 따뜻한 그 맛 ,,,",0
nikluge-au-2022-train-000258,갓 튀겨서 나온 따뜻한 감튀는 물론이고 저 하얀 소스인지 치즈인지가 진짜 너무 잘 어울려서 눈물날뻔,0
nikluge-au-2022-train-000259,소리바다,0
nikluge-au-2022-train-000260,&name&방에 나타난 &name&,0
nikluge-au-2022-train-000261,어제 #&brand& 먹구 소스가 맛있길래 밥 넣고 #리조또 만들어먹기〰️,0
nikluge-au-2022-train-000262,저런 x들은 빨리 Digimon 좋겠네.,1
nikluge-au-2022-train-000263,기다린 보람이..,0
nikluge-au-2022-train-000264,얼그레이짱짱,0
nikluge-au-2022-train-000265,#&brand&#초코우유#달다구리,0
nikluge-au-2022-train-000266,#이마트#빵,0
nikluge-au-2022-train-000267,#삼송갈비#돼지갈비#갈비#고기스타그램,0
nikluge-au-2022-train-000268,#초코칩쿠키#우유#달다구리#쿠키,0
nikluge-au-2022-train-000269,#littleparadise#작은천국#치즈왕돈까스#돈까스,0
nikluge-au-2022-train-000270,#삼계탕#저녁#중복#닭,0
nikluge-au-2022-train-000271,#물갈비홍갈비육회#돼지물갈비#갈비#물갈비,0
nikluge-au-2022-train-000272,#&company&#치즈스틱#치즈,0
nikluge-au-2022-train-000273,#튀김#고구마튀김#오징어튀김#김말이튀김,0
nikluge-au-2022-train-000274,#과일샐러드#샐러드#과일#채소,0
nikluge-au-2022-train-000275,#&brand&#돈까스김밥#김밥#돈까스,0
nikluge-au-2022-train-000276,오이🥒가 싫어서 뺐다는거는 안비밀,0
nikluge-au-2022-train-000277,#&company&#햄버거#새우버거#감자튀김,0
nikluge-au-2022-train-000278,#순대#분식,0
nikluge-au-2022-train-000279,#불향쭈꾸미볶음#쭈꾸미#비빔밥#쭈꾸미볶음,0
nikluge-au-2022-train-000280,#buona#pizza#연어파스타#크림파스타,0
nikluge-au-2022-train-000281,#김밥#참치김밥#분식#점심,0
nikluge-au-2022-train-000282,#베트남쌀국수#쌀국수#저녁,0
nikluge-au-2022-train-000283,#덕취원#탕수육#중국집#점심,0
nikluge-au-2022-train-000284,#국물닭발#계란찜#닭발,0
nikluge-au-2022-train-000285,#&company&#민트초코프라페#초코프라페#달다구리,0
nikluge-au-2022-train-000286,#곱창곱하기#소금막창#막창#저녁,0
nikluge-au-2022-train-000287,#모노끼매콤돈까스냉모밀#스페셜세트#저녁,0
nikluge-au-2022-train-000288,#&brand&#빵#디저트#팥빵,0
nikluge-au-2022-train-000289,#&company&#라씨#인도음료#달다구리,0
nikluge-au-2022-train-000290,#소풍#치즈김밥#치즈라볶이#분식,0
nikluge-au-2022-train-000291,#야식#만두#군만두,0
nikluge-au-2022-train-000292,#추석#떡갈비#집밥,0
nikluge-au-2022-train-000293,#순대#군것질#꿀맛,0
nikluge-au-2022-train-000294,#에그타르트#디저트#간식,0
nikluge-au-2022-train-000295,#&company&#메론빵#빵,0
nikluge-au-2022-train-000296,#자이언트떡볶이#편의점#떡볶이#&company&,0
nikluge-au-2022-train-000297,#과일#메론#디저트,0
nikluge-au-2022-train-000298,#닭볶음탕#닭#점심,0
nikluge-au-2022-train-000299,#저녁#막창#밥,0
